	Stars					UAI name
1565	   SFR         	      	Star Forming Region                       	http://astrothesaurus.org/uat/1565		
694	   HII         	      	HII Region                                	http://astrothesaurus.org/uat/694		
834	   Cld         	      	Cloud                                     	http://astrothesaurus.org/uat/834	Caution, 258=Cloud, but is atmospheric!	
1095	     GNe       	      	Nebula                                    	http://astrothesaurus.org/uat/1095		
180	      BNe    	      	Bright Nebula                             	http://astrothesaurus.org/uat/180		
1381	       RNe     	      	Reflection Nebula                         	http://astrothesaurus.org/uat/1381		
1072	     MoC       	      	Molecular Cloud                           	http://astrothesaurus.org/uat/1072		
352	     DNe       	      	Dark Cloud (nebula)                       	http://astrothesaurus.org/uat/352		
0	     glb       	      	Globule (low-mass dark cloud)             	http://astrothesaurus.org/uat/0	478=EGG?	
276	     CGb       	      	Cometary Globule / Pillar                 	http://astrothesaurus.org/uat/276		
735	     HVC       	      	High-velocity Cloud                       	http://astrothesaurus.org/uat/735		
0	   PoC         	      	Part of Cloud                             	http://astrothesaurus.org/uat/0		
371	   cor         	      	Dense Core                                	http://astrothesaurus.org/uat/371	371=Dense cloud	
1635	   bub         	      	Bubble                                    	http://astrothesaurus.org/uat/1635		
1667	   SNR         	 SR?  	SuperNova Remnant                         	http://astrothesaurus.org/uat/1667		
242	   sh          	      	Interstellar Shell                        	http://astrothesaurus.org/uat/242		
842	   flt         	      	Interstellar Filament                     	http://astrothesaurus.org/uat/842		
	TAXONOMY OF GALAXIES			http://astrothesaurus.org/uat/		
573	 G             	 G?   	Galaxy                                    	http://astrothesaurus.org/uat/573		
940	   LSB         	      	Low Surface Brightness Galaxy             	http://astrothesaurus.org/uat/940		
165	   bCG         	      	Blue Compact Galaxy                       	http://astrothesaurus.org/uat/165		
1570	   SBG         	      	Starburst Galaxy                          	http://astrothesaurus.org/uat/1570		
0	   H2G         	      	HII Galaxy                                	http://astrothesaurus.org/uat/0		
459	   EmG         	      	Emission-line galaxy                      	http://astrothesaurus.org/uat/459		
16	   AGN         	 AG?  	Active Galaxy Nucleus                     	http://astrothesaurus.org/uat/16		
1447	     SyG       	      	Seyfert Galaxy                            	http://astrothesaurus.org/uat/1447		
0	       Sy1     	      	Seyfert 1 Galaxy                          	http://astrothesaurus.org/uat/0		
0	       Sy2     	      	Seyfert 2 Galaxy                          	http://astrothesaurus.org/uat/0		
1343	     rG        	      	Radio Galaxy                              	http://astrothesaurus.org/uat/1343		
925	     LIN       	      	LINER-type Active Galaxy Nucleus          	http://astrothesaurus.org/uat/925		
1319	     QSO       	 Q?   	Quasar                                    	http://astrothesaurus.org/uat/1319		
164	       Bla     	 Bz?  	Blazar                                    	http://astrothesaurus.org/uat/164		
158	         BLL   	 BL?  	BL Lac                                    	http://astrothesaurus.org/uat/158		
734	   {HzG}       	      	Galaxy with high redshift                 	http://astrothesaurus.org/uat/734		
