eb-star;3;EB*;Eclipsing Binary;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#EB%2A) skos:exactMatch(http://astrothesaurus.org/uat/444)
sb-star;3;SB*;Spectroscopic Binary;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#SB%2A) skos:exactMatch(http://astrothesaurus.org/uat/1557)
by-dra;3;BYDra;BY Dra Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#BY%2A) skos:exactMatch(http://astrothesaurus.org/uat/190)
rs-cvn;3;RSCVn;RS CVn Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#RS%2A) skos:exactMatch(http://astrothesaurus.org/uat/1416)
symbiotic-star;3;Symbiotic*;Symbiotic Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Sy%2A) skos:exactMatch(http://astrothesaurus.org/uat/1674)
xb;3;XB;X-ray Binary;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#XB%2A) skos:exactMatch(http://astrothesaurus.org/uat/1811)
lmxb;4;LMXB;Low Mass X-ray Binary;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LXB) skos:exactMatch(http://astrothesaurus.org/uat/939)
hmxb;4;HMXB;High Mass X-ray Binary;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#HXB) skos:exactMatch(http://astrothesaurus.org/uat/733)
catacly-v-star;3;CataclyV*;Cataclysmic Binary;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#CV%2A) skos:exactMatch(http://astrothesaurus.org/uat/203)
nova;4;Nova;Classical Nova;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#No%2A) skos:exactMatch(http://astrothesaurus.org/uat/1127)
sn;2;SN;SuperNova;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#SN%2A) skos:exactMatch(http://astrothesaurus.org/uat/1668)
low-mass-star;2;low-mass*;Low-mass Star and substellar objects;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LM%2A) skos:exactMatch(http://astrothesaurus.org/uat/2050)
brown-d-star;3;brownD*;Brown Dwarf;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#BD%2A) skos:exactMatch(http://astrothesaurus.org/uat/185)
planet;2;Planet;Extra-solar Planet;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Pl) skos:exactMatch(http://astrothesaurus.org/uat/498)
