tanma-radio-telescope;1;Tanma Radio Telescope;;
otv-6;1;OTV-6;"uncrewed spaceflight mission; third flight of the first Boeing X-37B";skos:altLabel(AFSPC-7) skos:altLabel(X-37B OTV-6) skos:altLabel(USSF-7) skos:altLabel(USA-299) skos:altLabel(Orbital Test Vehicle 6)
rashid;1;Rashid;lunar rover;
q104865849;1;Q104865849;;skos:altLabel(Safir-3)
nishi-harima-observatory;1;Nishi-Harima Observatory;Observatory in Japan;skos:altLabel(Nishiharima Observatory)
themis;1;Themis;European Space Agency reusable launcher prototype;
boeing-starliner-spacecraft-2;1;Boeing Starliner Spacecraft 2;spacecraft manufactured by Boeing;skos:altLabel(Spacecraft 2)
euromir-95;1;Euromir-95;;
europa-astrobiology-lander;1;Europa Astrobiology Lander;proposed spacecraft;
europa-geophysical-explorer;1;Europa Geophysical Explorer;;
overwhelmingly-large-telescope;1;Overwhelmingly Large Telescope;conceptual design by the European Southern Observatory for giant telescope, intended to have a single aperture of 100 m in diameter;skos:altLabel(Overwhelmingly Large Telescope) skos:altLabel(OWL) skos:altLabel(OverWhelming Large Telescope) skos:altLabel(Opt)
catalina-station;1;Catalina Station;astronomical observatory on Mount Bigelow in Arizona, U.S.;skos:altLabel(Estacion Astronomica Catalina) skos:altLabel(mtbigelow) skos:altLabel(Steward Observatory Catalina Station) skos:altLabel(Catalina Station) skos:altLabel(693 CA) skos:altLabel(CS)
q105023830;1;Q105023830;;
gregorian-reflecting-telescope;1;Gregorian reflecting telescope;Gregorian reflecting telescope of 6 inch aperture and 30 inch focal length by Thomas Morton, Kilmarnock, on an altazimuth mounting with a table top stand.;skos:altLabel(Gregorian telescope)
lunokhod-2;1;Lunokhod 2;Soviet lunar rover deployed by the Luna 21 spacecraft;skos:altLabel(Lonochod 2) skos:altLabel(Ye-8) skos:altLabel(Lunokhod 2)
cosmic-kiss;1;Cosmic Kiss;ESA space mission to the ISS with German astronaut Matthias Maurer;skos:altLabel(baiser cosmique)
move-ii;1;MOVE-II;german educational microsatellite;skos:altLabel(Munich Orbital Verification Experiment 2) skos:altLabel(MOVE II)
spaceguard-centre;1;Spaceguard Centre;UK astronomical observatory;skos:altLabel(National Near Earth Objects Information Centre) skos:altLabel(The National Near Earth Objects Information Centre) skos:altLabel(The Spaceguard Centre)
advanced-space-based-solar-observatory;1;Advanced Space-based Solar Observatory;;skos:altLabel(ai quan sat Mat troi dua tren khong gian tien tien) skos:altLabel(1) skos:altLabel(Kuafu-1) skos:altLabel(-1) skos:altLabel(ASO-S) skos:altLabel(Advanced Space-based Solar Observatory)
q105387013;1;Q105387013;;
galileo;1;Galileo;NASA robotic space probe that studied the Jupiter system, as well as asteroids Gaspra and Ida;skos:altLabel(Galileo orbiter) skos:altLabel(Galileo spacecraft)
gregorian-reflecting-telescope;1;Gregorian reflecting telescope;;
dall-kirkham-cassegrain-reflecting-telescope-of-folding-design;1;Dall-Kirkham Cassegrain reflecting telescope of folding design;;
dun-echt-observatory;1;Dun Echt Observatory;astronomical observatory in Aberdeenshire, Scotland;skos:altLabel(Dun-Echt-Observatorium)
sich-2-30;1;Sich-2-30;Ukrainian satellite;skos:altLabel(-2-1) skos:altLabel(Sich-2-1) skos:altLabel(Szics21)
transporter;1;Transporter;;
chilescope;1;CHILESCOPE;;
light-climatic-observatory;1;Light Climatic Observatory;;skos:altLabel(LCO) skos:altLabel(LKO)
walter-hohmann-sternwarte;1;Walter-Hohmann-Sternwarte;;
